"","Var1","richness","Evar"
"1","SGS",25,0.95147344419576
"2","Andrus",14,0.929351472557979
"3","Buffalo Gap",6,0.632223716577622
"4","Beech Trail",12,0.897028063532658
"5","Cibola",10,0.760286554333137
"6","Comanche",7,0.636894817565754
"7","Cedar Point",8,0.826771317297494
"8","Davidson Mesa",16,0.981013147463492
"9","Heil Valley",13,0.957209720412568
"10","Kelsall",11,0.930874931273156
"11","Konza",8,0.760869374258367
"12","Rock Creek",15,1
"13","Rabbit Mountain",12,0.938039169004927
"14","Sevilleta",6,0.529900578240366
"15","Steele",11,0.8992401910734
"16","Wonderland",9,0.806937807087842
"17","Walker Ranch",3,0.260442259552336
"18","Total",154,0.768312424381186
