"","Andrus","Beech Trail","Buffalo Gap","Cedar Point","Cibola","Comanche","Davidson Mesa","Heil Valley","Kelsall","Konza","Rabbit Mountain","Rock Creek","Sevilleta","SGS","Steele","Walker Ranch"
"Beech Trail",1.12974380042215e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buffalo Gap",2.06391313607742e-26,0.000165474515595735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedar Point",4.84930728060403e-21,0.124887786860879,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cibola",1,4.72314866388038e-06,1.50236574756694e-13,2.30389926288277e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comanche",8.49339433231654e-28,3.79534165620328e-05,1,1,5.23400016680638e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davidson Mesa",1,4.12596393349122e-40,1.90706697344098e-46,1.08987829841653e-35,0.004232818953755,2.15786332475693e-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heil Valley",1,8.86124199623209e-21,7.23490225016616e-31,1.15273425680284e-23,1,1.13750497920763e-33,0.152973223665582,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelsall",0.000836775762386996,6.99523561846402e-11,7.04097113138223e-14,4.53586967936887e-13,1.48252639303743e-05,8.18302664181534e-14,0.0106178276904742,0.000234794768839645,NA,NA,NA,NA,NA,NA,NA,NA
"Konza",1.23648182000493e-14,1,0.0670301097477338,1,8.3524312644535e-06,0.0508918439384146,3.08422272690126e-28,1.50656196786509e-16,3.61068380649361e-11,NA,NA,NA,NA,NA,NA,NA
"Rabbit Mountain",1,5.04235539528122e-05,1.67565824396081e-10,1.622543009992e-08,1,1.30028584774565e-10,1,1,0.000254792213145583,4.04286618634464e-05,NA,NA,NA,NA,NA,NA
"Rock Creek",1.3070873536132e-08,6.92986650179595e-45,1.09348623833231e-53,1.76376730906682e-46,2.00571431417551e-12,3.75779938127746e-56,6.30947479547547e-07,5.75133133120853e-13,1,7.04554626764054e-40,2.78254751800315e-06,NA,NA,NA,NA,NA
"Sevilleta",8.07030192086343e-20,1,1,1,3.21858851735943e-09,1,6.08126733936851e-36,1.0680387031421e-22,1.48877799181306e-12,1,1.28479422399193e-07,1.64241182179602e-46,NA,NA,NA,NA
"SGS",0.835840551327451,5.65032146830541e-55,2.80097901341949e-52,2.54672108168515e-39,0.000271648816308639,1.69903705299992e-64,1,0.00333228716555744,0.0188230049875163,2.41917128009753e-32,0.517053461154052,1.18287680489323e-06,9.48307482077079e-41,NA,NA,NA
"Steele",0.000894773213901914,0.110907911174835,4.14961602959757e-08,1.79647546369983e-05,1,1.97285092458307e-08,1.1734930345749e-09,0.00109323063613802,8.35322078752454e-08,0.0861665028767408,1,8.15124755453464e-21,0.00018629998584221,1.3129896230311e-11,NA,NA
"Walker Ranch",6.1302394484982e-21,3.03214998127896e-12,1.68552230495499e-08,3.15423015558531e-09,8.63515257630782e-18,1.11702360569912e-08,3.84892162645128e-23,1.63615378668562e-20,7.16334334471418e-24,1.75343391927336e-11,4.67942899623952e-18,2.75720990585126e-28,7.07894120776126e-10,1.28183822660467e-23,4.60421264987406e-15,NA
"Wonderland",6.65989470560669e-06,1,0.0163290355068427,0.339299573987291,0.115240103357653,0.0151428593049198,3.28113855285267e-11,7.99743178300073e-06,2.76159885281843e-09,1,0.0521113251492374,3.34314804308276e-21,1,9.33846632413799e-13,1,2.25643439430031e-12
