"","Estimate","Std. Error","t value","Pr(>|t|)","p.list"
"c1",-10.5301435772331,7.11499108610296,-1.47999392406839,0.162697668985487,1
"c2",-0.612392929287716,0.486564570152687,-1.2586056750814,0.230306678427594,1
"c3",139.05407992137,416.906414212034,0.333537876082301,0.744046852498929,1
"c4",-4.10183376598206,2.04754155906147,-2.00329695279163,0.0664468155555497,0.797361786666596
"c5",-0.252484311591588,0.140467747694778,-1.79745397598466,0.0955194832614627,1
"c6",96.2042380374591,124.690540813409,0.771543995317352,0.45418128221159,1
"c7",-1.19546567825329,0.748529361385894,-1.59708588590286,0.134258738340167,1
"c8",-0.084917362020294,0.0495441104079234,-1.71397490682795,0.110260351428902,1
"c9",-17.1691489803173,44.3119125642596,-0.387461248832788,0.704684058670207,1
"c10",-1.24680032744563,1.18325318751197,-1.05370544580343,0.311209160740286,1
"c11",-0.0807319935415976,0.0795102923658749,-1.01536532113479,0.328457351508784,1
"c12",70.575573699998,64.190112711081,1.09947732943947,0.29150437642152,1
